"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Acremonium berkeleyanum","conidia",3.5,5.8,1.5,2.5,"Ascomycota",2,4.65,9.73893722612836,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium cerealis","conidia",4,5.3,2.5,3.7,"Ascomycota",3.1,4.65,23.3977966857734,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium furcatum","conidia",3,3.7,1.6,2.1,"Ascomycota",1.85,3.35,6.00325631177535,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium fusidioides","globose_conidia",3.4,4.7,3.4,4.7,"Ascomycota",4.05,4.05,34.7827321128419,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium fusidioides","fusiform_conidia",4.9,6.4,1.2,2.1,"Ascomycota",1.65,5.65,8.05406181609998,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium kiliense","conidia",3.1,5.8,1,1.6,"Ascomycota",1.3,4.45,3.93772459188701,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium luzulae","conidia",5.2,8.2,1.9,2.8,"Ascomycota",2.35,6.7,19.3735473962188,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium murorum","conidia",3.4,5.7,2,3.7,"Ascomycota",2.85,4.55,19.3508362993272,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium rutilum","conidia",3,6,2,3.3,"Ascomycota",2.65,4.5,16.5463758073757,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acremonium strictum","conidia",3.3,5.5,0.9,1.8,"Ascomycota",1.35,4.4,4.19873858152276,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acrophialophora fusispora","conidia",5,12,3,6,"Ascomycota",4.5,8.5,90.1244392498572,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Acrostalagamus luteoalbus","conidia",3.5,5,2,2.5,"Ascomycota",2.25,4.25,11.2655549062321,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Actinomucor elegans","conidia",6,8,6,8,"Ascomycota",7,7,179.594380030216,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Ajellomyces capsulatus","conidia",2,6,2,6,"Ascomycota",4,4,33.5103216382911,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Alternaria alternata","conidia",18,63,7,18,"Ascomycota",12.5,40.5,3313.39850183299,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Alternaria tenuissima","conidia",3,5,2,4,"Ascomycota",3,4,18.8495559215388,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Amorphotheca resinae","conidia",3,7,2,4,"Ascomycota",3,5,23.5619449019235,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Aphanoascus fulvescens","conidia",10,12,7,8,"Ascomycota",7.5,11,323.976742401447,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Apiosordaria verruculosa","conidia",2.5,3.5,1.7,2.5,"Ascomycota",2.1,3,6.92721180116549,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Apiospora montagnei","conidia",5.5,8,3,4.5,"Ascomycota",3.75,6.75,49.7009775274948,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
