"good.names","Genus_species","clade","host","hyphlength","soil_ergo","root_ergo","no_spores"
"Acaulospora_morrowiae","Acaulospora_morrowiae","Acaulosporaceae","Plantago_lanceolata",1.474,0.504,1.072,7.298
"Acaulospora_morrowiae","Acaulospora_morrowiae","Acaulosporaceae","Plantago_major",1.324,0.376,0.918,4.794
"Acaulospora_morrowiae","Acaulospora_morrowiae","Acaulosporaceae","Poa_annua",1.466,0.428,1.068,5.914
"Acaulospora_morrowiae","Acaulospora_morrowiae","Acaulosporaceae","Poa_pratensis",1.644,0.538,1.19,5.648
"Acaulospora_spinosa","Acaulospora_spinosa_1","Acaulosporaceae","Plantago_lanceolata",1.582,0.59,1.26,6.15
"Acaulospora_spinosa","Acaulospora_spinosa_1","Acaulosporaceae","Plantago_major",1.474,0.516,1.126,5.688
"Acaulospora_spinosa","Acaulospora_spinosa_1","Acaulosporaceae","Poa_annua",1.662,0.526,1.256,2.936
"Acaulospora_spinosa","Acaulospora_spinosa_1","Acaulosporaceae","Poa_pratensis",1.732,0.58,1.408,4.942
"Acaulospora_spinosa","Acaulospora_spinosa_2","Acaulosporaceae","Plantago_lanceolata",1.778,0.57,1.412,2.792
"Acaulospora_spinosa","Acaulospora_spinosa_2","Acaulosporaceae","Plantago_major",1.664,0.618,1.268,5.05
"Acaulospora_spinosa","Acaulospora_spinosa_2","Acaulosporaceae","Poa_annua",1.72,0.544,1.418,4.764
"Acaulospora_spinosa","Acaulospora_spinosa_2","Acaulosporaceae","Poa_pratensis",1.912,0.626,1.562,3.422
"Acaulospora_colombiana","Entrophospora_colombiana","Acaulosporaceae","Plantago_lanceolata",1.882,0.6,1.496,4.974
"Acaulospora_colombiana","Entrophospora_colombiana","Acaulosporaceae","Plantago_major",1.656,0.606,1.296,5.79
"Acaulospora_colombiana","Entrophospora_colombiana","Acaulosporaceae","Poa_annua",1.796,0.578,1.534,6.9
"Acaulospora_colombiana","Entrophospora_colombiana","Acaulosporaceae","Poa_pratensis",1.998,0.612,1.63,4.672
"Gigaspora_gigantea","Gigaspora_gigantea","Gigasporaceae","Plantago_lanceolata",5.528,2.192,0.93,6.178
"Gigaspora_gigantea","Gigaspora_gigantea","Gigasporaceae","Plantago_major",4.868,2.034,0.822,5.876
"Gigaspora_gigantea","Gigaspora_gigantea","Gigasporaceae","Poa_annua",5.548,2.29,0.962,14.014
"Gigaspora_gigantea","Gigaspora_gigantea","Gigasporaceae","Poa_pratensis",6.248,2.546,1.074,6.044
"Gigaspora_margarita","Gigaspora_margarita","Gigasporaceae","Plantago_lanceolata",6.604,2.74,1.172,5.686
"Gigaspora_margarita","Gigaspora_margarita","Gigasporaceae","Plantago_major",6.216,2.42,1.024,6.86
"Gigaspora_margarita","Gigaspora_margarita","Gigasporaceae","Poa_annua",6.54,2.704,1.168,8.422
"Gigaspora_margarita","Gigaspora_margarita","Gigasporaceae","Poa_pratensis",7.188,2.838,1.228,11.194
"Rhizophagus_aggregatus","Glomus_aggregatum","GlomusAb","Plantago_lanceolata",1.856,0.566,3.06,31.404
"Rhizophagus_aggregatus","Glomus_aggregatum","GlomusAb","Plantago_major",1.784,0.598,2.758,40.61
"Rhizophagus_aggregatus","Glomus_aggregatum","GlomusAb","Poa_annua",1.816,0.488,3.106,49.498
"Rhizophagus_aggregatus","Glomus_aggregatum","GlomusAb","Poa_pratensis",1.978,0.608,3.69,32.556
"Claroideoglomus_claroideum","Glomus_claroideum","GlomusB","Plantago_lanceolata",1.638,0.558,2.508,26.298
"Claroideoglomus_claroideum","Glomus_claroideum","GlomusB","Plantago_major",1.48,0.516,1.936,25.114
"Claroideoglomus_claroideum","Glomus_claroideum","GlomusB","Poa_annua",1.624,0.546,2.314,49.384
"Claroideoglomus_claroideum","Glomus_claroideum","GlomusB","Poa_pratensis",1.826,0.584,2.902,41.102
"Septoglomus_constrictum","Glomus_constrictum","GlomusAa","Plantago_lanceolata",1.692,0.524,2.726,5.92
"Septoglomus_constrictum","Glomus_constrictum","GlomusAa","Plantago_major",1.632,0.562,2.438,4.764
"Septoglomus_constrictum","Glomus_constrictum","GlomusAa","Poa_annua",1.724,0.538,2.73,3.328
"Septoglomus_constrictum","Glomus_constrictum","GlomusAa","Poa_pratensis",1.956,0.624,3.154,7.354
"Claroideoglomus_etunicatum","Glomus_etunicatum","GlomusB","Plantago_lanceolata",1.764,0.594,2.75,47.266
"Claroideoglomus_etunicatum","Glomus_etunicatum","GlomusB","Plantago_major",1.536,0.472,2.378,17.988
"Claroideoglomus_etunicatum","Glomus_etunicatum","GlomusB","Poa_annua",1.666,0.61,2.702,25.32
"Claroideoglomus_etunicatum","Glomus_etunicatum","GlomusB","Poa_pratensis",1.934,0.638,3.202,13.26
"Funneliformis_geosporum","Glomus_geosporum","GlomusAa","Plantago_lanceolata",1.57,0.59,2.09,30.938
"Funneliformis_geosporum","Glomus_geosporum","GlomusAa","Plantago_major",1.384,0.434,1.738,43.146
"Funneliformis_geosporum","Glomus_geosporum","GlomusAa","Poa_annua",1.54,0.486,1.824,28.652
"Funneliformis_geosporum","Glomus_geosporum","GlomusAa","Poa_pratensis",1.736,0.518,2.424,51.47
"Rhizophagus_intraradices","Glomus_intraradices_F","GlomusAb","Plantago_lanceolata",1.896,0.638,3.432,59.314
"Rhizophagus_intraradices","Glomus_intraradices_F","GlomusAb","Plantago_major",1.802,0.534,3.206,43.606
"Rhizophagus_intraradices","Glomus_intraradices_F","GlomusAb","Poa_annua",1.93,0.556,3.588,29.778
"Rhizophagus_intraradices","Glomus_intraradices_F","GlomusAb","Poa_pratensis",2.08,0.67,3.902,45.73
